Región;Número de Región;Comuna;Establecimiento;Teléfono;Pertenecencia;Dirección
De Valparaíso;V;San Felipe;COSAM San Felipe;342492052;Perteneciente;Calle Sargento Cajales 1900
De Valparaíso;V;Valparaiso;COSAM Domingo Asún Salazar;;Perteneciente;Calle Condell 1231
De Valparaíso;V;Nogales;Centro Comunitario de Salud Familiar El Polígono;332298434;Perteneciente;
De Valparaíso;V;Valparaiso;Laboratorio Clínico Valparaíso Ltda.;;No Perteneciente;Avenida Brasil, Local 1, Piso 1 2222
De Valparaíso;V;Putaendo;Centro Comunitario de Salud Familiar Estación Las Coimas;;Perteneciente;
De Valparaíso;V;Viña del Mar;Integramédica Viña del Mar;229387150;No Perteneciente;Calle 13 Norte, Piso 4 - 5 853
De Valparaíso;V;Con Con;Laboratorio Clínico Laboclin;;No Perteneciente;Calle Clarencia, local Nº 3 877
De Valparaíso;V;Valparaiso;Centro Odontológico Uno Saluld Dental Valparaíso;;No Perteneciente;Calle Blanco, Piso 1 y 2 1297
De Valparaíso;V;Viña del Mar;Centro Odontológico Uno Saluld Dental Viña del Mar;;No Perteneciente;Calle 13 Norte, Edificio Jardín Oriente 798
Metropolitana de Santiago;RM;La Reina;Integramédica Sucursal Plaza Egaña;229387150;No Perteneciente;Avenida Larraín 5862
Metropolitana de Santiago;RM;Ñuñoa;Centro Médico - PDI;227081326;No Perteneciente;Calle Brown Norte 235
Metropolitana de Santiago;RM;Quilicura;Centro Comunitario de Salud Familiar Beato Padre Hurtado;;Perteneciente;Calle Parroquia Nuestra Señora del Carmen 551
Metropolitana de Santiago;RM;Ñuñoa;Vacunatorio Pharmavisan;223039400;No Perteneciente;Calle Los Jardines 263
Metropolitana de Santiago;RM;Providencia;Vacunatorio RENVAC;229447441;No Perteneciente;Calle La Concepción 141
Metropolitana de Santiago;RM;Vitacura;Centro Odontológico Uno Salud Dental Vitacura;6007071010;No Perteneciente;Avenida Vitacura, Local 101 5250
Metropolitana de Santiago;RM;Las Condes;Centro Odontológico Uno Salud Dental Las Condes;6007071010;No Perteneciente;Avenida Padre Hurtado Sur, Piso 2 Locales 24-25-26, Centro Punto Vivo Padre Hurtado 1621
Metropolitana de Santiago;RM;San Miguel;Centro Odontológico Uno Salud Dental San Miguel;6007071010;No Perteneciente;Avenida Llano Subercaseaux 3811
Metropolitana de Santiago;RM;Santiago;Centro Odontológico Uno Salud Dental Teatinos;6007071010;No Perteneciente;Calle Teatinos, Local 335 - 339 333
Metropolitana de Santiago;RM;Puente Alto;Centro Odontológico Uno Salud Dental Puente Alto;6007071010;No Perteneciente;Avenida Concha y Toro, Local 4 y 12 al 15 625
Metropolitana de Santiago;RM;Providencia;Centro Odontológico Uno Salud Dental Providencia;6007071010;No Perteneciente;Avenida Coyancura, Local 6 y 7 2229
Metropolitana de Santiago;RM;Santiago;Centro Odontológico Uno Salud Dental Merced;6007071010;No Perteneciente;Calle Merced, Piso 2 501
Metropolitana de Santiago;RM;La Reina;Centro Odontológico Uno Salud Dental La Reina;6007071010;No Perteneciente;Avenida Principe de Gales 6938
Metropolitana de Santiago;RM;Providencia;Centro Odontológico Uno Salud Dental Hernando de Aguirre;6007071010;No Perteneciente;Avenida Hernando de Aguirre, Local 101 215
Metropolitana de Santiago;RM;Maipu;Centro Odontológico Uno Salud Dental Maipú;6007071010;No Perteneciente;Avenida 5 de Abril, Local 35 33
Metropolitana de Santiago;RM;Providencia;Centro Odontológico Uno Salud Dental La Concepción;6007071010;No Perteneciente;Avenida La Concepción, Local 102 201
Metropolitana de Santiago;RM;San Bernardo;Centro Odontológico Uno Salud Dental San Bernardo;6007071010;No Perteneciente;Calle Eyzaguirre, Piso 6 650
Metropolitana de Santiago;RM;Santiago;Centro Odontológico Uno Salud Dental Santa Lucía;6007071010;No Perteneciente;Calle Santa Rosa, Local 14 12
Metropolitana de Santiago;RM;Santiago;Centro Odontológico Uno Salud Dental Moneda;6007071010;No Perteneciente;Calle Moneda 953
Metropolitana de Santiago;RM;La Florida;Centro Odontológico Uno Salud Dental La Florida;6007071010;No Perteneciente;Calle Froilán Roa 894
Metropolitana de Santiago;RM;Ñuñoa;Centro Odontológico Uno Salud Dental Ñuñoa;6007071010;No Perteneciente;Avenida Irarrázaval, Local 12 2401
Metropolitana de Santiago;RM;Estación Central;Centro Odontológico Uno Salud Dental Estación Central;6007071010;No Perteneciente;Calle San Francisco de Borja, Local S122-A 122
Metropolitana de Santiago;RM;La Cisterna;Centro Odontológico Uno Salud Dental La Cisterna;6007071010;No Perteneciente;Avenida Américo Vespucio, Local 312 al 315 33
Metropolitana de Santiago;RM;Cerrillos;Centro Comunitario de Salud Familiar Buzeta;;Perteneciente;Avenida Carlos Valdovinos 3955
Metropolitana de Santiago;RM;Conchalí;Centro Comunitario de Salud Familiar Alberto Bachelet;232444179;Perteneciente;Pasaje Cunaco 1424
Metropolitana de Santiago;RM;San Joaquín;Centro Comunitario de Salud Familia Martin Henríquez;;Perteneciente;Calle Martin Henríquez 4537
Metropolitana de Santiago;RM;Quinta Normal;Centro Comunitario de Salud Familiar Salud Plaza México;222726944;Perteneciente;Calle Huérfanos 4490
Metropolitana de Santiago;RM;Providencia;Clínica de Cirugía y Estética Edelweiss;229183695;No Perteneciente;Calle Calle Miguel Claro 996
Metropolitana de Santiago;RM;Santiago;Centro Médico y Dental Matucana;226813942;No Perteneciente;Calle Matucana, Piso 2 727
Metropolitana de Santiago;RM;Talagante;Centro Comunitario de Salud Familiar Villa Los Presidentes;226124470;Perteneciente;Avenida Salvador Allende, Villa Los Presidentes 1100
Metropolitana de Santiago;RM;Las Condes;Clínica Milano;232208310;No Perteneciente;Calle Estoril 645
Metropolitana de Santiago;RM;Maipu;Laboratorio Vidaintegra;224107400;No Perteneciente;Avenida Los Pajaritos, Piso 6 1948
Metropolitana de Santiago;RM;Providencia;Vacunatorio Mediclown;223416873;No Perteneciente;Calle Collypi 126
Metropolitana de Santiago;RM;La Cisterna;Centro Comunitario de Salud Familiar Eduardo Frei Montalva;;Perteneciente;Calle Victoria 8396
Metropolitana de Santiago;RM;San Miguel;Centro Comunitario de Salud Familiar Atacama;;Perteneciente;Calle Segunda Avenida 1462
Metropolitana de Santiago;RM;Providencia;Centro Clínico Integral Las Lilas;222726944;No Perteneciente;Avenida Manuel Montt 427
Metropolitana de Santiago;RM;Puente Alto;Centro de Referencia de Salud Hospital Provincia Cordillera;226123200;Perteneciente;Calle Eyzaguirre 2061
Metropolitana de Santiago;RM;Providencia;Centro Comunitario de Salud Familiar Andacollo;;Perteneciente;Calle Andacollo 1661
Metropolitana de Santiago;RM;Talagante;Centro de Salud Esmeralda;228150210;No Perteneciente;Calle Esmeralda, Piso 2, Oficina 14 1062
Metropolitana de Santiago;RM;Melipilla;Centro de Salud La Araucana Salud;228321313;No Perteneciente;Calle Libertad 592
Metropolitana de Santiago;RM;Santiago;Centro de Salud La Araucana Salud;229645751;No Perteneciente;Calle Merced 472
Metropolitana de Santiago;RM;Ñuñoa;Centro Comunitario de Salud Familiar Villa Olímpica;;Perteneciente;Avenida Salvador 1350
Metropolitana de Santiago;RM;San Bernardo;Centro Clínico San Bernardo;227199000;No Perteneciente;Calle O'Higgins 237
Metropolitana de Santiago;RM;Ñuñoa;Centro Médico y Dental ISP;225755241;No Perteneciente;Calle Marathon 1000
Metropolitana de Santiago;RM;Vitacura;Clínica Psiquiátrica Mida;227556461;No Perteneciente;Avenida Gerónimo de Alderete 1109
Metropolitana de Santiago;RM;Santiago;Centro Médico y Dental Servicio de Bienestar MOP;224493355;No Perteneciente;Calle Morandé 59
Metropolitana de Santiago;RM;Lo Barnechea;Clínica MEDS La Dehesa;224996500;No Perteneciente;Avenida José Alcalde Délano 10581
Metropolitana de Santiago;RM;Puente Alto;COSAM CEIF Puente Alto Norte;227975496;Perteneciente;Avenida Concha y Toro 2531
Metropolitana de Santiago;RM;Providencia;Clínica Vida Estética;222112200;No Perteneciente;Avenida Eliodoro Yáñez 1759
Metropolitana de Santiago;RM;Santiago;Servicio Medicina Preventiva del Ejercito;226684356;No Perteneciente;Avenida Libertador Bernardo O'Higgins,Torre 3 Piso 9 1449
Metropolitana de Santiago;RM;La Florida;Centro Comunitario de Salud Familiar Las Lomas;232422111;Perteneciente;Avenida Jardin Alto 9057
Metropolitana de Santiago;RM;Las Condes;Centro Médico Medicien;224820000;No Perteneciente;Avenida Américo Vespucio, of. 102, Piso 1 100
Metropolitana de Santiago;RM;Providencia;Clínica Paris SpA;232446400;No Perteneciente;Avenida Los Leones 465
Metropolitana de Santiago;RM;El Monte;Centro Comunitario de Salud Familiar Lo Chacón;225688070;Perteneciente;Pasaje Los Plátanos, Villa Los Álamos 3 124
Metropolitana de Santiago;RM;Peñalolén;Clínica Las Condes Peñalolén;;No Perteneciente;Avenida Los Presidentes 8950
Metropolitana de Santiago;RM;San Miguel;Laboratorio Medicina Nuclear Bicentenario;226924400;No Perteneciente;Avenida José Miguel Carrera of. 102 - 103 y 104 3840
Metropolitana de Santiago;RM;Maipu;Centro Médico Clínica Hospital Profesor;222996000;No Perteneciente;Calle Tristán Valdés 66
Metropolitana de Santiago;RM;Talagante;SAR Oriente María Eugenia Torres;;Perteneciente;Pasaje Quemchi, Villa Mónaco 1075
Metropolitana de Santiago;RM;La Florida;Clínica Bupa Santiago;226669999;No Perteneciente;Avenida Departamental 1455
Metropolitana de Santiago;RM;Las Condes;Clínica Psiquiatrica Creser;227916915;No Perteneciente;Calle Martin de Zamora 4602
Metropolitana de Santiago;RM;Santiago;Laboratorio Clínico Metropolitano;226324595;No Perteneciente;Avenida Libertador Bernardo O'Higgins, Depto. 63 776
Metropolitana de Santiago;RM;San Bernardo;Laboratorio Clínico Megasalud;224257883;No Perteneciente;Avenida América, Piso 1 654
Metropolitana de Santiago;RM;Santiago;Laboratorio Clínico Omega;226813942;No Perteneciente;Calle Matucana, Piso 2 727
Metropolitana de Santiago;RM;Macul;Consultorio Escuela de Suboficiales de Carabineros de Chile;229221357;No Perteneciente;Calle Rodrigo de Araya 2601
Metropolitana de Santiago;RM;Ñuñoa;Centro Médico Irarrázaval Pontificia Universidad Católica de Chile;226767000;No Perteneciente;Avenida Irarrázaval 4949
Metropolitana de Santiago;RM;Providencia;Centro Médico y Dental Antonio Varas del Banco del Estado de Chile;222351440;No Perteneciente;Avenida Providencia 1722
Metropolitana de Santiago;RM;Peñalolén;Centro de Referencia de Salud Cordillera Oriente;225688200;Perteneciente;Avenida Las Torres 5100
Metropolitana de Santiago;RM;Providencia;Centro de Salud Familiar Dr. Hernán Alessandri;227064300;Perteneciente;Calle Los Jesuitas 857
Metropolitana de Santiago;RM;Providencia;Centro de Salud Familiar Dr. Alfonso Leng;222359166;Perteneciente;Avenida Manuel Montt 303
Metropolitana de Santiago;RM;Providencia;Centro de Salud Familiar Aguilucho;222743516;Perteneciente;Calle El Aguilucho 3292
Metropolitana de Santiago;RM;Las Condes;Centro de Salud Familiar Apoquindo;227305000;Perteneciente;Calle Cerro Altar 6611
Metropolitana de Santiago;RM;Las Condes;Centro de Salud Familiar Aníbal Ariztía;227305500;Perteneciente;Calle Paúl Harris 1140
Metropolitana de Santiago;RM;Lo Barnechea;Centro de Salud Familiar Lo Barnechea;227573442;Perteneciente;Avenida El Rodeo 13533
Metropolitana de Santiago;RM;Vitacura;Centro de Salud Familiar Vitacura;800500389;Perteneciente;Calle Indiana 1195
Metropolitana de Santiago;RM;Ñuñoa;Centro de Salud Familiar Rosita Renard;225751100;Perteneciente;Calle Las Encinas 2801
Metropolitana de Santiago;RM;Ñuñoa;Centro de Salud Familiar Salvador Bustos;225752450;Perteneciente;Avenida Grecia 4369
Metropolitana de Santiago;RM;Macul;Centro de Salud Familiar Félix de Amesti;227192800;Perteneciente;Calle El Líbano 5557
Metropolitana de Santiago;RM;Macul;Centro de Salud Familiar Santa Julia;226591713;Perteneciente;Calle Santa Julia 2309
Metropolitana de Santiago;RM;Peñalolén;Centro de Salud Familiar La Faena;229397200;Perteneciente;Avenida Oriental 7250
Metropolitana de Santiago;RM;Peñalolén;Centro de Salud Familiar San Luis;229397311;Perteneciente;Calle La Pradera 5370
Metropolitana de Santiago;RM;Peñalolén;Centro de Salud Familiar Carol Urzúa Ibáñez;229397100;Perteneciente;Avenida Consistorial 1960
Metropolitana de Santiago;RM;La Reina;Centro de Salud Familiar Ossandon;226517295;Perteneciente;Calle Echenique 8419
Metropolitana de Santiago;RM;Peñalolén;Centro de Salud Familiar Lo Hermida;229397400;Perteneciente;Calle Coronel Alejandro Sepúlveda 6931
Metropolitana de Santiago;RM;Macul;Centro de Salud Familiar Padre Alberto Hurtado;225739500;Perteneciente;Calle Arturo Prat 4345
Metropolitana de Santiago;RM;La Reina;Centro de Salud Familiar Juan Pablo II;224816388;Perteneciente;Calle Parinacota 440
Metropolitana de Santiago;RM;Peñalolén;Centro de Salud Familiar Cardenal Silva Henríquez;229397500;Perteneciente;Calle Río Claro 1020
Metropolitana de Santiago;RM;Peñalolén;Centro de Salud Familiar Padre Gerardo Whelan;229397600;Perteneciente;Avenida Litoral 5960
Metropolitana de Santiago;RM;Macul;Centro Odontológico Macul;225739600;Perteneciente;Calle Arturo Prat 4345
Metropolitana de Santiago;RM;Lo Barnechea;Posta de Farellones;222224591;Perteneciente;
Metropolitana de Santiago;RM;Providencia;Centro Integramédica Barcelona;226796000;No Perteneciente;Calle Barcelona 2116
Metropolitana de Santiago;RM;Providencia;Clínica Las Acacias;222237977;No Perteneciente;Avenida Salvador 537
Metropolitana de Santiago;RM;Providencia;Clínica Mella;223730950;No Perteneciente;Calle Providencia 2608
Metropolitana de Santiago;RM;Providencia;Centro Servicios Médicos Santa María;224613590;No Perteneciente;Avenida Santa María 410
Metropolitana de Santiago;RM;Vitacura;Clínica Fundación Médica San Cristóbal;227549501;No Perteneciente;Calle Luis Pasteur 5292
Metropolitana de Santiago;RM;Vitacura;Centro Oftalmológico Luis Pasteur;225205900;No Perteneciente;Calle Luis Pasteur 5917
Metropolitana de Santiago;RM;Peñalolén;Clínica Universidad de Chile Quilín;229770017;No Perteneciente;Calle Mar Tirreno 3349
Metropolitana de Santiago;RM;Las Condes;Clínica Arauco Salud;222990299;No Perteneciente;
Metropolitana de Santiago;RM;Macul;Centro Médico San Joaquín (CEDIUC);225521765;No Perteneciente;Avenida Vicuña 4686
Metropolitana de Santiago;RM;Providencia;Clínica Astra Providencia;222741377;No Perteneciente;Calle Rancagua 701
Metropolitana de Santiago;RM;Peñalolén;Centro Asistencial AChS Egaña;228704000;No Perteneciente;Calle Américo Vespucio 1476
Metropolitana de Santiago;RM;La Reina;Centro Asistencial AChS La Reina;222730422;No Perteneciente;Avenida Jorge 50
Metropolitana de Santiago;RM;Las Condes;Centro Asistencial AChS Las Condes;228704620;No Perteneciente;Avenida Kennedy 5413
Metropolitana de Santiago;RM;Macul;Centro Médico Macul;222373909;No Perteneciente;Calle Macul 2555
Metropolitana de Santiago;RM;Vitacura;Centro de Salud Mutual CChC las Tranqueras;222203803;No Perteneciente;Avenida Las Tranqueras 1327
Metropolitana de Santiago;RM;Ñuñoa;Centro Médico y Dental Megasalud Ñuñoa;223790233;No Perteneciente;Avenida Irarrázaval 2303
Metropolitana de Santiago;RM;Las Condes;Centro Médico y Dental Megasalud Kennedy;224317737;No Perteneciente;Avenida Kennedy 5735
Metropolitana de Santiago;RM;Lo Barnechea;Centro Médico Clínica Santa María La Dehesa;223308430;No Perteneciente;Avenida La Dehesa 1445
Metropolitana de Santiago;RM;Providencia;Clínica Los Coihues;222366060;No Perteneciente;Avenida Eliodoro Yáñez 1215
Metropolitana de Santiago;RM;Providencia;Centro Vida Integra;224107400;No Perteneciente;Avenida 11 de Septiembre 2350
Metropolitana de Santiago;RM;Las Condes;Centro Integra Médica Manquehue;226366666;No Perteneciente;Avenida Manquehue 329
Metropolitana de Santiago;RM;Lo Barnechea;Centro Médico Clínica Alemana (La Dehesa);225861707;No Perteneciente;Avenida El Rodeo 1908
Metropolitana de Santiago;RM;Providencia;Clínica Las Lilas;226780800;No Perteneciente;Avenida Eliodoro Yáñez 2087
Metropolitana de Santiago;RM;Las Condes;Darvax Salud;222287138;No Perteneciente;Avenida Cristóbal Colón 3018
Metropolitana de Santiago;RM;La Reina;Hospital Militar de Santiago;223653000;No Perteneciente;Avenida Larraín 9100
Metropolitana de Santiago;RM;La Reina;COSAM La Reina;225750652;Perteneciente;Calle Quillahua 480
Metropolitana de Santiago;RM;Macul;COSAM Macul;226591746;Perteneciente;Calle Gregorio de la Fuente 3556
Metropolitana de Santiago;RM;Ñuñoa;COSAM Ñuñoa;225750203;Perteneciente;Calle Pichirangui 3650
Metropolitana de Santiago;RM;Las Condes;COSAM Las Condes;223358254;Perteneciente;Calle Enrique Foster Sur 153
Metropolitana de Santiago;RM;Peñalolén;COSAM Peñalolén;229397280;Perteneciente;Avenida Oriental 7250
Metropolitana de Santiago;RM;Providencia;COSAM Provisam;223414150;Perteneciente;Calle Manuel Montt 2051
Metropolitana de Santiago;RM;Lo Barnechea;COSAM Lo Barnechea;229557110;Perteneciente;Calle Padre Alfredo Arteaga 1873
Metropolitana de Santiago;RM;Vitacura;COSAM Vitacura;227561178;Perteneciente;Calle Indiana 1195
Metropolitana de Santiago;RM;Lo Barnechea;Centro Comunitario de Salud Familiar Lo Barnechea;225759872;Perteneciente;Calle Circunvalación Norte 5040
Metropolitana de Santiago;RM;Peñalolén;Centro Comunitario de Salud Familiar General Carol Urzúa Ibáñez;229397111;Perteneciente;Calle Nueva Vida 2087
Metropolitana de Santiago;RM;La Reina;Centro Comunitario de Salud Familiar Dragones de La Reina;223610102;Perteneciente;Calle Dragones de La Reina 616
Metropolitana de Santiago;RM;Lo Barnechea;Centro Comunitario de Salud Familiar Bicentenario;229558146;Perteneciente;Calle Getsemani 229
Metropolitana de Santiago;RM;Las Condes;SAPU Aníbal Ariztía;227305584;Perteneciente;Calle La Escuela 1229
Metropolitana de Santiago;RM;Lo Barnechea;SAPU Lo Barnechea;227573443;Perteneciente;Avenida El Rodeo 13533
Metropolitana de Santiago;RM;Ñuñoa;SAPU Rosita Renard;223792284;Perteneciente;Calle Las Encinas 2801
Metropolitana de Santiago;RM;Macul;SAPU Santa Julia;226591747;Perteneciente;Calle Santa Julia 2309
Metropolitana de Santiago;RM;Peñalolén;SAPU La Faena;229397201;Perteneciente;Avenida Los Orientales 7250
Metropolitana de Santiago;RM;Peñalolén;SAPU San Luis;229397301;Perteneciente;Calle Los Cerezos 5556
Metropolitana de Santiago;RM;Peñalolén;SAPU Carol Urzúa Ibáñez;229397401;Perteneciente;Avenida Consistorial 1960
Metropolitana de Santiago;RM;Peñalolén;SAPU Lo Hermida;229397401;Perteneciente;Calle Litoral 5960
Metropolitana de Santiago;RM;Ñuñoa;SAPU Centro de Urgencia Ñuñoa;223792430;Perteneciente;Calle Juan Moya 1320
Metropolitana de Santiago;RM;Providencia;Clínica Avansalud Providencia;223662055;No Perteneciente;Avenida Salvador 100
Metropolitana de Santiago;RM;Providencia;Dirección Previsional de Carabineros de Chile;224955784;No Perteneciente;Calle Santa Beatriz 171
Metropolitana de Santiago;RM;Providencia;Laboratorio Clínico Blanco;224905500;No Perteneciente;Avenida Salvador 31
Metropolitana de Santiago;RM;Providencia;Química Clínica Especializada;222518116;No Perteneciente;Avenida Salvador 149
Metropolitana de Santiago;RM;Providencia;Laboratorio Bionet;226853691;No Perteneciente;Avenida Vicuña Mackenna, Piso 3 4
Metropolitana de Santiago;RM;Providencia;Bioánalisis Ltda.;222051976;No Perteneciente;Avenida Bustamante 32
Metropolitana de Santiago;RM;Providencia;Dilab;222223112;No Perteneciente;Avenida Vicuña Mackenna, Piso 1 6
Metropolitana de Santiago;RM;Providencia;Elsa;224763100;No Perteneciente;Avenida Italia 1056
Metropolitana de Santiago;RM;Vitacura;San Cristóbal;227549527;No Perteneciente;Calle Luis Pasteur 5292
Metropolitana de Santiago;RM;Ñuñoa;Red-Lab;222220058;No Perteneciente;Calle Malaquías Concha 155
Metropolitana de Santiago;RM;Las Condes;Instituto Oftalmológico Puerta del Sol;224115700;No Perteneciente;Calle Puerta del Sol 36
Metropolitana de Santiago;RM;Las Condes;Centro de Diagnóstico Integramédica Alto Las Condes;226796500;No Perteneciente;
Metropolitana de Santiago;RM;Las Condes;Clínica Paris SpA;222200949;No Perteneciente;Calle Hernando de Magallanes 142
Metropolitana de Santiago;RM;Las Condes;Centro Vida Integra de Las Condes;223348806;No Perteneciente;Avenida Apoquindo 3281
Metropolitana de Santiago;RM;Ñuñoa;Centro Mater Esperanza Nueva Limitada;222375441;No Perteneciente;Calle Campo de Deporte 727
Metropolitana de Santiago;RM;Providencia;Megasalud;223695100;No Perteneciente;Calle Salvador 100
Metropolitana de Santiago;RM;La Reina;VidaIntegra;223525100;No Perteneciente;Avenida Ossa 345
Metropolitana de Santiago;RM;Las Condes;VidaIntegra (El Bosque Norte);225779300;No Perteneciente;Calle Roger 2800
Metropolitana de Santiago;RM;Las Condes;Integramédica Las Condes;226366666;No Perteneciente;Calle Nevería 4715
Metropolitana de Santiago;RM;Maipu;Integramédica Maipú;226366666;No Perteneciente;Avenida Pajaritos 1790
Metropolitana de Santiago;RM;Providencia;Clínica New Clinic;223434100;No Perteneciente;Calle Los Leones 1588
Metropolitana de Santiago;RM;Ñuñoa;Centro Vida Integra de Ñuñoa;224107400;No Perteneciente;Avenida Pedro de Valdivia 3505
Metropolitana de Santiago;RM;Providencia;Barnafi Krause Diagnóstica;226633400;No Perteneciente;Avenida Andrés Bello 1195
Metropolitana de Santiago;RM;Providencia;Centro de Salud Mutual CChC Providencia;222254242;No Perteneciente;Calle Hernán Alessandri 620
Metropolitana de Santiago;RM;Providencia;Centro de Salud Dial Médica;222341511;No Perteneciente;Calle Ricardo Lyon 396
Metropolitana de Santiago;RM;Ñuñoa;Clínica Corporación de Ayuda al Paciente Mental;222336970;No Perteneciente;Avenida Condell 1890
Metropolitana de Santiago;RM;San Miguel;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur);;Perteneciente;Avenida Santa Rosa 3453
Metropolitana de Santiago;RM;San Miguel;PRAIS (S.S Metropolitano Sur);;Perteneciente;Avenida Santa Rosa 3453
Metropolitana de Santiago;RM;San Miguel;Hospital Barros Luco Trudeau (Santiago, San Miguel);225763700;Perteneciente;Calle Gran Avenida José Miguel Carrera 3204
Metropolitana de Santiago;RM;San Miguel;Hospital Dr. Exequiel González Cortés (Santiago, San Miguel);225765700;Perteneciente;Calle Salvador 364
Metropolitana de Santiago;RM;Buin;Hospital San Luis (Buin);225765800;Perteneciente;Calle Arturo Prat 240
Metropolitana de Santiago;RM;San Miguel;Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel);225763700;Perteneciente;Calle Gran Avenida José Miguel Carrera 3204
Metropolitana de Santiago;RM;Puente Alto;Hospital Psiquiátrico El Peral (Santiago, Puente Alto);225766500;Perteneciente;Calle Camilo Henríquez 2451
Metropolitana de Santiago;RM;San Bernardo;Hospital El Pino (Santiago, San Bernardo);225767600;Perteneciente;Avenida Padre Hurtado 13560
Metropolitana de Santiago;RM;San Bernardo;Centro de Referencia de Salud El Pino;223874500;Perteneciente;Avenida Los Morros 13560
Metropolitana de Santiago;RM;San Bernardo;Hospital Parroquial (San Bernardo) (D);223732500;Perteneciente;Calle Libertador Bernardo O'Higgins 4
Metropolitana de Santiago;RM;San Miguel;Clínica San Miguel;225510862;No Perteneciente;Calle Álvarez de Toledo 943
Metropolitana de Santiago;RM;San Miguel;Clínica Psiquiátrica Nelly Vergara;223594090;No Perteneciente;Calle Curiñanca 752
Metropolitana de Santiago;RM;San Miguel;Centro Integramédica San Miguel;226367445;No Perteneciente;Calle El Llano Subercaseaux 3965
Metropolitana de Santiago;RM;San Miguel;Centro Vida Integra de San Miguel;224107400;No Perteneciente;Calle José Miguel Carrera 6251
Metropolitana de Santiago;RM;San Bernardo;Centro de Salud Mutual CChC San Bernardo;228594343;No Perteneciente;Calle Freire 339
Metropolitana de Santiago;RM;San Bernardo;Clínica Santa Lucía;223907600;No Perteneciente;Calle Victoria 717
Metropolitana de Santiago;RM;San Bernardo;Centro Vida Integra de San Bernardo;224107400;No Perteneciente;Calle Urmeneta 513
Metropolitana de Santiago;RM;Lo Espejo;Centro de Salud Mutual CChC Lo Espejo;228542557;No Perteneciente;Avenida Lo Sierra 3200
Metropolitana de Santiago;RM;San Joaquín;Clínica Santa Rosa;225524816;No Perteneciente;Calle Copacabana 493
Metropolitana de Santiago;RM;San Bernardo;Clínica de Cirugía Plástica;228596291;No Perteneciente;Avenida Colón 321
Metropolitana de Santiago;RM;La Cisterna;Clínica Santa Amalia;225521674;No Perteneciente;Calle General Freire 46
Metropolitana de Santiago;RM;Buin;Centro Asistencial AChS Buin;228211490;No Perteneciente;Calle Condell 755
Metropolitana de Santiago;RM;San Bernardo;Centro Asistencial AChS San Bernardo;228594424;No Perteneciente;Calle Eysaguirre 61
Metropolitana de Santiago;RM;San Miguel;Centro Asistencial AChS San Miguel;225544399;No Perteneciente;Avenida Alcalde 970
Metropolitana de Santiago;RM;Paine;Centro de Salud Mutual CChC Paine;228242146;No Perteneciente;
Metropolitana de Santiago;RM;San Miguel;Clínica Astra San Miguel;225217004;No Perteneciente;Calle Gran Avenida 5681
Metropolitana de Santiago;RM;San Bernardo;Clínica Astra San Bernardo;228591864;No Perteneciente;Calle O'Higgins 401
Metropolitana de Santiago;RM;San Miguel;Centro Médico y Dental Megasalud Gran Avenida;224257500;No Perteneciente;Avenida José Miguel Carrera 5728
Metropolitana de Santiago;RM;San Bernardo;Centro Médico y Dental Megasalud San Bernardo;224257800;No Perteneciente;Avenida América 654
Metropolitana de Santiago;RM;Paine;Centro Asistencial AChS Paine;228242564;No Perteneciente;Avenida Presidente Prieto 128
Metropolitana de Santiago;RM;El Bosque;Consultorio Tantauco;225402940;No Perteneciente;Calle General Tavarías 83
Metropolitana de Santiago;RM;La Cisterna;Consultorio Prefectura Sur;229222870;No Perteneciente;Calle Gran Avenida 6868
Metropolitana de Santiago;RM;San Miguel;Multimédica Ltda.;225514611;No Perteneciente;Calle Llano Subercaseaux 4005
Metropolitana de Santiago;RM;San Miguel;San Nicolás;225514611;No Perteneciente;Avenida José Miguel Carrera 5018
Metropolitana de Santiago;RM;San Bernardo;Macromédica;228562978;No Perteneciente;Calle O'Higgins 453
Metropolitana de Santiago;RM;La Cisterna;Nefrolab;225484166;No Perteneciente;Calle Celia Zegers 141
Metropolitana de Santiago;RM;San Bernardo;Radiológico y Laboratorio Santa Lucía;223907600;No Perteneciente;Calle Victoria 411
Metropolitana de Santiago;RM;San Miguel;Centro de Salud Familiar Barros Luco;224063400;Perteneciente;Calle Ángel Guarello 1319
Metropolitana de Santiago;RM;San Joaquín;Centro de Salud Familiar San Joaquín;800500471;Perteneciente;Calle Francisca de Rimini 3223
Metropolitana de Santiago;RM;San Miguel;Centro de Salud Familiar Recreo;225761436;Perteneciente;Calle Varas Mena 785
Metropolitana de Santiago;RM;Pedro Aguirre Cerda;Centro de Salud Familiar Amador Neghme;800500462;Perteneciente;Calle Alhué 2085
Metropolitana de Santiago;RM;Pedro Aguirre Cerda;Centro de Salud Familiar Villa Sur;225214665;Perteneciente;Calle Clotario Blest 6035
Metropolitana de Santiago;RM;San Joaquín;Centro de Salud Familiar Arturo Baeza Goñi;225760800;Perteneciente;Calle Álvarez de Toledo 399
Metropolitana de Santiago;RM;Pedro Aguirre Cerda;Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);225760800;Perteneciente;Calle Los Comandos 4772
